Ticker,Name,Market
AAPL,"Apple Inc","SIC"
MSFT,"Microsoft Corporation","SIC"
AMZN,"Amazon.com, Inc.","SIC"
WALMEX.MX,"Wal-Mart de México, S.A.B. de C.V.","BMV"
FEMSAUBD.MX,"Fomento Económico Mexicano, S.A.B. de C.V.","BMV"
CEMEXCPO.MX,"Cemex, S.A.B. de C.V.","BMV"
